id,client_id,latitude,longitude,min_budget,max_budget,desired_area_min,desired_area_max,property_type,floors,rooms,has_parking,distance_to_city_center,hospital_nearby,police_station_nearby,fire_station_nearby,public_transport_accessible,created_at
1,448,35.31597,5.90717,112045,246896,59,99,Apartment,4,1,True,9.1,False,True,False,True,2024-12-18 03:46:51
2,906,35.83835,4.21936,88769,374887,53,122,Studio,4,1,False,19.6,True,True,True,True,2025-06-20 18:51:00
3,724,36.30323,7.81644,190072,449406,63,159,Studio,5,1,True,5.2,True,True,False,True,2025-03-02 04:24:08
4,929,34.24746,3.89161,124158,251438,92,182,Apartment,4,3,False,14.4,False,True,True,True,2024-11-29 06:06:26
5,584,35.57474,6.03607,164793,454725,88,155,House,5,1,False,12.2,False,True,False,True,2024-08-02 06:50:17
6,900,36.30445,1.78327,168881,301030,51,96,House,3,3,True,10.1,False,False,False,False,2025-06-11 06:27:11
7,980,35.56806,1.85436,151612,272269,62,94,Studio,1,5,False,18.2,True,True,True,False,2025-04-25 15:16:33
8,122,34.49416,-0.6368,76282,311982,85,127,Apartment,1,4,False,5.1,True,False,False,True,2025-06-20 20:00:22
9,256,34.68289,0.38012,81903,338866,59,83,House,4,4,True,6.9,True,True,True,True,2025-02-05 10:03:45
10,240,34.05815,7.94795,173632,225122,56,107,Villa,4,2,False,14.3,True,True,False,False,2025-07-13 20:10:05
11,934,36.93721,2.10606,171010,364576,74,148,Studio,3,5,True,1.7,False,True,False,True,2025-07-04 05:20:30
12,591,34.36931,-0.70131,112335,253340,87,160,Apartment,4,4,False,2.5,False,False,True,True,2024-08-09 19:59:58
13,257,35.01649,2.03801,162727,219858,72,150,House,5,3,False,9.8,False,False,False,True,2024-12-25 10:58:06
14,677,34.06567,4.39341,70739,365543,56,133,Villa,1,6,False,12.4,True,True,False,True,2025-05-16 18:22:12
15,819,36.49464,-0.12731,52515,251820,62,86,House,4,5,True,10.2,False,False,True,True,2024-08-06 19:09:15
16,394,35.69781,4.03703,127030,223837,99,126,Villa,5,2,True,4.9,False,True,True,False,2025-04-11 20:46:28
17,683,36.47761,7.9775,130784,428219,63,97,Villa,3,6,False,19.8,True,True,True,False,2025-03-31 15:05:40
18,942,36.2277,6.21195,193310,427879,81,169,Villa,3,5,True,6.7,True,False,True,True,2024-11-24 23:08:17
19,224,34.06266,3.19874,124479,417861,66,141,Villa,1,6,False,14.9,False,False,False,True,2024-12-29 17:05:22
20,853,36.87076,0.98956,70656,317510,97,159,Studio,2,1,False,11.5,True,True,False,False,2025-04-23 22:54:09
21,366,35.26584,6.97466,82520,289258,62,89,House,4,1,True,9.2,False,False,True,True,2025-03-19 10:14:58
22,742,35.41918,3.09367,186404,288542,45,106,Apartment,4,2,True,1.3,True,True,False,False,2024-08-26 12:55:12
23,391,34.82609,2.87454,169243,409480,75,110,House,1,2,True,5.0,True,False,True,False,2025-02-14 04:32:09
24,990,36.74502,3.24942,112442,206802,78,111,Apartment,2,2,True,18.1,False,False,False,False,2024-09-06 04:10:51
25,277,36.98399,-0.80874,88318,192914,73,105,Villa,1,2,False,9.4,True,True,False,False,2024-11-02 21:23:44
26,421,36.07497,1.06031,176887,309539,78,102,House,3,5,True,16.4,False,False,True,True,2024-12-11 06:34:14
27,955,35.04984,3.36231,101869,376193,58,92,House,4,5,False,1.1,True,True,False,True,2025-07-02 06:01:50
28,704,34.46157,6.64761,165298,240674,96,119,House,4,4,False,2.5,False,True,False,True,2025-05-14 12:27:59
29,869,36.28648,5.14695,144339,413334,89,184,Villa,4,6,False,3.7,False,False,False,False,2024-09-01 18:31:40
30,929,36.91674,1.17078,109491,221695,65,94,House,4,4,True,14.8,False,False,True,False,2025-03-01 07:21:05
31,979,35.12125,7.02707,140258,392715,92,174,Villa,4,5,False,6.6,True,False,True,True,2024-10-20 11:05:12
32,380,35.35148,5.64941,165881,338739,49,88,Apartment,1,6,True,1.7,True,False,False,True,2025-04-06 10:06:00
33,601,36.88038,4.66858,81143,357808,56,88,Studio,5,3,False,15.1,False,False,True,True,2024-09-23 12:14:40
34,354,36.60833,7.70842,166613,329398,75,155,Villa,5,4,True,18.7,True,True,False,False,2024-08-17 22:16:04
35,706,36.03248,0.02659,101808,387960,78,136,Apartment,5,4,False,9.2,False,True,False,True,2025-04-02 01:51:37
